Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Nov 30 20:37:58 2025
| Host         : mymelody running 64-bit Ubuntu 22.04.5 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file util_hier.txt
| Design       : system_top
| Device       : xc7z010clg225-1
| Speed File   : -1
| Design State : Synthesized
--------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------+-------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|            Instance            |                            Module                           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|       logic_or                 |                                           system_logic_or_0 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |          0 |
|       logic_or_1               |                                         system_logic_or_1_0 |          1 |          1 |       0 |    0 |     0 |      0 |      0 |          0 |
|       msk_top                  |                                            system_msk_top_0 |      11674 |      11160 |     514 |    0 | 13147 |      0 |      4 |         20 |
|         (msk_top)              |                                            system_msk_top_0 |          0 |          0 |       0 |    0 |     0 |      0 |      2 |          0 |
|         U0                     |                                    system_msk_top_0_msk_top |      11674 |      11160 |     514 |    0 | 13147 |      0 |      2 |         20 |
|       sys_concat_intc          |                                    system_sys_concat_intc_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|       sys_ps7                  |                                            system_sys_ps7_0 |         46 |         46 |       0 |    0 |     0 |      0 |      0 |          0 |
|         (sys_ps7)              |                                            system_sys_ps7_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|         inst                   | system_sys_ps7_0_processing_system7_v5_5_processing_system7 |         46 |         46 |       0 |    0 |     0 |      0 |      0 |          0 |
|       sys_rstgen               |                                         system_sys_rstgen_0 |         18 |         17 |       0 |    1 |    37 |      0 |      0 |          0 |
|         U0                     |                          system_sys_rstgen_0_proc_sys_reset |         18 |         17 |       0 |    1 |    37 |      0 |      0 |          0 |
|       tx_upack                 |                                           system_tx_upack_0 |        115 |        115 |       0 |    0 |   128 |      0 |      0 |          0 |
|         inst                   |                               system_tx_upack_0_util_upack2 |        115 |        115 |       0 |    0 |   128 |      0 |      0 |          0 |
+--------------------------------+-------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+


